id | locus | label | signal | pillars | hearts | turn1 (first 110 chars)
JLS-035 | 54 | Excellence of Weeping out of Fear from Allah (swt) | intrinsic | restraint,cross_cutting | fear_hope,intention_sincerity,self_accounting,love_contentment | I've been praying five times a day for as long as I can remember, but for the last year or so I feel absolutel
JLS-036 | 55 | Excellence of Leading an Ascetic Life, and Virtues of Simple Life | leaky | restraint,cross_cutting | love_contentment,reliance_on_god,self_accounting | I got the offer Friday — regional director, almost triple what I make now, but it means relocating and probabl
JLS-037 | 58 | Permissibility of Assistance without Greed | clean | restraint,justice | love_contentment,intention_sincerity,self_accounting | My uncle started slipping me money about four months ago — usually 200 or 300 in an envelope after Jummah, som
JLS-038 | 59 | Encouraging Livelihood by (working with) Hands and Abstaining from Beg | clean | restraint,courage | reliance_on_god,self_accounting,love_contentment | I got laid off four months ago — I was a junior accountant. Last week a warehouse near me offered me a stockin
JLS-039 | 60 | Excellence of Generosity and Spending in a Good cause with Reliance on | clean | courage,justice,cross_cutting | reliance_on_god,fear_hope,love_contentment,intention_sincerity | My younger brother called Tuesday — he's two months behind on rent, his hours got cut at the warehouse, and th
JLS-040 | 62 | Selflessness and Sympathy | clean | restraint,justice,cross_cutting | love_contentment,reliance_on_god,intention_sincerity | I get paid Friday and after rent and groceries I've got maybe 300 left to stretch until the next paycheck — no
JLS-041 | 64 | Excellence of a Grateful Rich Man | leaky | restraint,justice,cross_cutting | patience_gratitude,intention_sincerity,love_contentment | Six weeks ago my salary jumped almost double — I'm an electrical contractor and we landed a hospital contract 
JLS-042 | 65 | Remembrance of Death and Restraint of Wishes | leaky | restraint,patience | self_accounting,vigilance,repentance,fear_hope | I'm 34, just got a promotion, and the next three years are going to be brutal — long hours, travel, building t
JLS-043 | 66 | Desirability of visiting the Graves for men, and that they should say | leaky | patience,restraint | fear_hope,patience,self_accounting,vigilance | My dad passed four months ago. I haven't gone back to the cemetery since the burial — I just can't. My sister 
JLS-044 | 68 | Leading an Abstemious Life and refraining from the Doubtful | leaky | restraint,cross_cutting | vigilance,self_accounting,fear_hope | I got an offer last Tuesday from a logistics company — base salary almost double what I make now, plus a signi
JLS-045 | 69 | Desirability of Seclusion at times of corruption committed by the peop | clean | restraint,patience,cross_cutting | vigilance,self_accounting,patience,reliance_on_god | I moved to a new dev team five weeks ago. Every Friday they do a long lunch that turns into drinks, and the gr
JLS-046 | 71 | Modesty and Courtesy towards the Believers | clean | restraint,justice,cross_cutting | love_contentment,self_accounting,intention_sincerity | Six weeks ago I got made shift supervisor over the warehouse team I've worked alongside for four years. Now I'
JLS-047 | 80 | Obligation of Obedience to the Ruler in what is Lawful and Prohibition | clean | courage,justice,restraint | fear_hope,truthfulness,reliance_on_god | I do safety inspections for a warehouse contractor — been here fourteen months. Yesterday my supervisor told m
JLS-048 | 81 | Undesirability of Aspiring for Office | leaky | restraint,justice | intention_sincerity,self_accounting | Our masjid's expanding the management board to seven seats, and nominations close in two weeks. I've been a qu
JLS-049 | 82 | Appointment of Pious Governors, Advisors and Judges | clean | justice,restraint,cross_cutting | vigilance,self_accounting,truthfulness | I got promoted to run our regional branch six weeks ago — forty staff under me now. I have to name a deputy th
JLS-050 | 84 | Exaltation of Modesty | clean | restraint,courage | vigilance,self_accounting,truthfulness | I started a new job seven weeks ago. During onboarding HR mentioned I'd qualify for a relocation stipend, but 
JLS-051 | 85 | Secrecy of Private Matters (Guarding Secrets) | clean | restraint,justice | truthfulness,vigilance,self_accounting | Six weeks ago my best friend told me, crying at my kitchen table, that she'd quietly racked up about £9,000 in
JLS-052 | 88 | Excellence of Meeting with a Smiling Countenance and Politeness in Spe | clean | restraint,cross_cutting | intention_sincerity,love_contentment,truthfulness | I've been pulling double shifts at the hospital for six weeks now, covering for two nurses who quit. By the ti
JLS-053 | 90 | Listening Attentively | leaky | restraint,justice | patience,love_contentment,self_accounting | My dad's 71 and since my mom passed in March he calls me every evening. He tells me the same three stories — t
JLS-054 | 91 | Brevity in Preaching | clean | restraint,cross_cutting | intention_sincerity,self_accounting | Every Sunday after dinner I sit my wife, two teenagers, and my younger brother down for what I call our family
JLS-055 | 93 | Excellence of Walking Solemnly (Towards the Mosque) to Perform As-Sala | intrinsic | restraint,patience | intention_sincerity,vigilance,love_contentment | My masjid does Maghrib about four minutes after the train drops me, and the platform's a seven-minute walk awa
JLS-056 | 95 | Excellence of Conveying Glad Tidings and Congratulations | clean | justice,cross_cutting | love_contentment,intention_sincerity,truthfulness | My younger sister called last night to say she's expecting — first grandchild, the whole family went wild on t
JLS-057 | 96 | Bidding Farewell and Advising on the Eve of Departure for a Journey or | clean | cross_cutting,patience | love_contentment,reliance_on_god,intention_sincerity | My younger brother flies out Tuesday for a two-year work contract in Dubai. We've shared a room our whole live
JLS-058 | 101 | Prohibition of Criticizing Food | clean | restraint,justice | love_contentment,patience_gratitude,self_accounting | Every Friday my husband's family does a big dinner at his mother's, and my sister-in-law always brings this dr
JLS-059 | 102 | Response to an Invitation Extended to a Man Observing Saum (Fasting) | intrinsic | restraint,justice,cross_cutting | intention_sincerity,love_contentment,truthfulness | I fast every Monday and Thursday — have for almost two years now, it's one of the few steady things I've kept 
JLS-060 | 103 | What should One say to the Host if an Invited Person is Accompanied by | clean | justice,restraint,courage | truthfulness,intention_sincerity | My old roommate Faisal is in town for two nights and I haven't seen him in three years. Tomorrow I'm invited t
JLS-061 | 109 | Excellence of Eating with Three Fingers and Licking Them | intrinsic | restraint,cross_cutting | intention_sincerity,love_contentment,self_accounting | Every other Thursday my team does a long lunch at this nice place downtown, maybe eight of us, and I'm the onl
JLS-062 | 120 | The Excellence of Giving Up Elegant Clothes Out of Humility | clean | restraint,cross_cutting | intention_sincerity,love_contentment,self_accounting | I'm finishing my residency in three weeks and there's a big dinner where I'll be standing up in front of every
JLS-063 | 121 | The Excellence of Adopting Moderation in Dress | leaky | restraint,justice | intention_sincerity,love_contentment | I started leading the youth halaqa at our masjid two months ago, and I've been thinking hard about how I show 
JLS-064 | 122 | The Prohibition of Wearing Silk for Men and its Permissibility for Wom | intrinsic | restraint,justice | love_contentment,self_accounting,vigilance | My older brother's getting married in three weeks and the whole groom's party is being fitted for matching she
JLS-065 | 123 | The Lawfulness of Wearing Silk if One is Suffering from an Itch | intrinsic | restraint,justice | fear_hope,love_contentment,self_accounting | I've had eczema on my torso for about two years now. Cotton helps a little, but last month a dermatologist tol
JLS-066 | 129 | Etiquette of Attending company and sitting with Companions | leaky | justice,restraint,cross_cutting | intention_sincerity,love_contentment,self_accounting | Our masjid runs a weekly Quran circle, maybe 40 people, and the front row by the teacher fills up fast. I've b
JLS-067 | 131 | The Excellence of Promoting Greetings | leaky | courage,cross_cutting | love_contentment,intention_sincerity,self_accounting | There's a guy two doors down — we used to chat over the fence, his kids and mine played together. About four m
JLS-068 | 140 | Seeking Permission to Enter (Someone's House) and Manners Relating to  | clean | restraint,justice | vigilance,self_accounting | My daughter turned fifteen last month and suddenly keeps her bedroom door shut all the time. I'm her mother — 
JLS-069 | 142 | Saying "Al-Hamdulillah" When Sneezing, Its Reply, and Manners Relating | clean | restraint,cross_cutting | patience_gratitude,love_contentment,self_accounting | I've sat at the same desk for two years. Tuesday I sneezed and said the praise out loud, like always — three p
JLS-070 | 143 | The Excellence of Shaking Hands When Greeting Someone | clean | justice,cross_cutting | love_contentment,truthfulness,intention_sincerity | I got promoted to lead a team of eight three weeks ago, and I'm the only one who keeps people at arm's length.
JLS-071 | 144 | Visiting the Sick | leaky | courage,cross_cutting | love_contentment,intention_sincerity | My uncle had surgery on Tuesday and he's been in the hospital since. He pretty much raised me after my dad pas
JLS-072 | 145 | Supplication for the Sick | clean | patience,cross_cutting | fear_hope,reliance_on_god,love_contentment | My dad's been in the ICU for nine days now after the stroke. The doctors keep using the word 'plateau.' I sit 
JLS-073 | 149 | Permissibility of expressing feelings of agony in Serious Illness | leaky | patience,restraint | patience,patience_gratitude,love_contentment,truthfulness | I've had this nerve condition for two years now and some days the burning in my legs is all I can think about.
JLS-074 | 150 | Helping a dying Person to Pronounce 'La Ilaha Illahllah' | clean | courage,patience,cross_cutting | fear_hope,reliance_on_god,love_contentment,patience | The hospice nurse told us this morning my mother probably has a day or two left — her breathing's changed and 
JLS-075 | 152 | Good Words to be Uttered before a dying Person and his Family | leaky | patience,restraint | patience_gratitude,fear_hope,reliance_on_god,love_contentment | My dad's been in hospice for nine days now. The nurse said maybe another day or two. I've been sitting by his 
JLS-076 | 155 | Participation in Funeral Prayer and Procession and the dislike of Wome | intrinsic | restraint,cross_cutting,justice | patience,love_contentment,self_accounting | My father's janazah is tomorrow after Dhuhr. The men in my family — my uncles, my brother — keep telling me I 
JLS-077 | 157 | Supplications in Funeral Prayers | intrinsic | patience,cross_cutting | fear_hope,patience,reliance_on_god,love_contentment | My father's janazah is tomorrow morning. We hadn't spoken in almost four years — he walked out when I was twel
JLS-078 | 163 | Praising the Deceased | leaky | justice,restraint | truthfulness,self_accounting,love_contentment | My uncle died last Tuesday and the janazah is Saturday. My cousins asked me to say a few words since I'm the o
JLS-079 | 167 | The Desirability of undertaking a Journey in a Group and appointing a  | clean | justice,cross_cutting | reliance_on_god,love_contentment | I'm driving from Houston to my cousin's wedding in Chicago next Thursday — about 18 hours, mostly overnight so
JLS-080 | 168 | Etiquette of Staying, Riding, Encamping at night and sleeping during t | leaky | restraint,justice,cross_cutting | love_contentment,self_accounting | We're driving 11 hours to my brother's wedding tomorrow morning. I've got my wife seven months pregnant in the
JLS-081 | 169 | Helping a Companion | clean | justice,cross_cutting | intention_sincerity,love_contentment | I organized a weekend hike for eight of us, and we're two hours from the trailhead with maybe four hours of da
JLS-082 | 175 | Desirability of returning Home soon after the Accomplishment of a Task | clean | restraint,justice | love_contentment,self_accounting | I flew out for a three-day vendor audit and finished it this afternoon, a full day ahead of schedule. My retur
JLS-083 | 176 | Desirability of returning Home by Day | leaky | restraint,cross_cutting | love_contentment,vigilance | I've been away for work almost five months — first time gone this long since we got married. My train pulls in
JLS-084 | 183 | Inducement towards the Recitation of some Special verses and Surah of  | leaky | patience,restraint | fear_hope,reliance_on_god,love_contentment | For about two months now I wake up around 3am with my heart pounding and just lie there until the adhan, runni
JLS-085 | 185 | The Merits of Ablutions (Wudu') | intrinsic | patience | fear_hope,intention_sincerity,repentance | I'm 34, work nights at a warehouse, and I've been praying five times a day since I was a kid. Lately it feels 
JLS-086 | 186 | The Excellence of Adhan | leaky | courage,cross_cutting | intention_sincerity,love_contentment,fear_hope | Our masjid's been struggling to find someone to open up for Fajr — unlock the doors, switch on the heat, set t
JLS-087 | 189 | The Excellence of Proceeding towards the Mosque Walking | intrinsic | patience,restraint | intention_sincerity,fear_hope,patience_gratitude | My new apartment is an eight-minute walk from the masjid, maybe a four-minute drive. I've been here three week
JLS-088 | 193 | Strict Orders for Observance of Obligatory Salat | intrinsic | restraint,justice | fear_hope,vigilance,self_accounting,repentance | I've been working closing shifts at the warehouse for about four months now — I don't get home until almost 2a
JLS-089 | 204 | Desirability of offering Nawfil (Voluntary or Optional) Prayers at Hom | intrinsic | restraint,cross_cutting | intention_sincerity,self_accounting,vigilance | About six weeks ago I started staying after Isha to pray my extra rakahs at the masjid instead of going home. 
JLS-090 | 210 | The Excellence of Friday Prayer | intrinsic | restraint,courage | intention_sincerity,self_accounting,love_contentment | I started a new job six weeks ago — product team, and I'm still proving myself. Two weeks ago they moved the w
JLS-091 | 211 | The Desirability of Prostrating out of Gratitude | leaky | cross_cutting | patience_gratitude,love_contentment,reliance_on_god | Got the call this morning — the follow-up scan is clean, no cancer. Eight months of waiting and it's over. I'm
JLS-092 | 212 | Excellence of Standing in Prayer at Night | intrinsic | restraint,patience | intention_sincerity,fear_hope,self_accounting,love_contentment | About six weeks ago I started setting my alarm for 3am to pray before Fajr. The first week I managed it twice.
JLS-093 | 232 | I'tikaf (Seclusion in the Mosque) in the Month of Ramadan | intrinsic | restraint,patience | intention_sincerity,love_contentment,self_accounting,reliance_on_god | Ramadan starts in eight days and I've made up my mind: I'm spending all ten of the final nights at the masjid,
JLS-094 | 233 | The Obligation of Hajj (Pilgrimage) and its Excellence | intrinsic | courage,restraint,cross_cutting | intention_sincerity,reliance_on_god,self_accounting,love_contentment | I'm 41, the kids are 9 and 6, and I've got enough saved from a bonus to cover the package for me this season —
JLS-095 | 234 | Obligation of Jihad | clean | courage,patience,cross_cutting | intention_sincerity,reliance_on_god,self_accounting,fear_hope | There's a medical relief team driving aid into a disaster zone two countries over — twelve weeks, my own funds
JLS-096 | 235 | Martyrdom without Fighting | clean | patience,courage | fear_hope,patience_gratitude,reliance_on_god,love_contentment | My father died six weeks ago after eighteen months with stomach cancer. The last stretch was brutal — feeding 
JLS-097 | 236 | The Merit of Emancipation of Slaves | clean | justice,cross_cutting | intention_sincerity,love_contentment | One of the guys who loads trucks at our warehouse, Naveed, got caught in one of those advance-against-wages tr
JLS-098 | 240 | Excellence of Fair Bargaining and Matters Relation to it | clean | justice,restraint,cross_cutting | love_contentment,truthfulness,self_accounting | I hired a guy to redo my kitchen — small operation, just him and one helper. We agreed on $8,000, half up fron
JLS-099 | 244 | The Excellence of the Remembrance of Allah | intrinsic | restraint,cross_cutting | love_contentment,vigilance,reliance_on_god | I'm 34, two kids, and I commute ninety minutes each way. By the time I get home I've checked my phone maybe tw
JLS-100 | 249 | Supplication before going to Bed | clean | restraint,patience | reliance_on_god,fear_hope,self_accounting | I'm 34, and for about two months now I haven't really slept. I get into bed and my brain just starts running —
JLS-101 | 253 | Superiority of Auliya' and their Marvels | intrinsic | restraint,patience | reliance_on_god,fear_hope,intention_sincerity,love_contentment | I have until Friday to accept or decline a job in another city — it means leaving my mother, my masjid, everyo
JLS-102 | 259 | Condemnation of Double-faced People | clean | justice,courage,restraint | truthfulness,intention_sincerity,self_accounting | I run point between our department head and the five people on my team. In our planning calls I nod along, tel
JLS-103 | 261 | Clarification of what kinds of lying are permissible | leaky | justice,restraint,cross_cutting | truthfulness,intention_sincerity,self_accounting | My two older brothers haven't spoken in eight months — since our father's estate got divided. It's wrecking my
JLS-104 | 264 | Prohibition of Cursing one Particular Man or Animal | leaky | restraint,justice | self_accounting,vigilance | My landlord kept our deposit — almost $2,400 — over 'damages' that were already there when we moved in five mo
JLS-105 | 275 | Prohibition of Deriding one's Lineage | clean | restraint,justice | truthfulness,self_accounting,love_contentment | My sister's marrying into a family that's looked down on us for two years — little comments about how we don't
JLS-106 | 280 | Prohibition of Breaking ties and Relationships | leaky | restraint,justice,courage | love_contentment,repentance,self_accounting | My older brother and I had a blowup at our dad's funeral back in March — he said I'd done nothing while he cov
JLS-107 | 282 | Prohibition of Cruelty | clean | restraint,justice | self_accounting,vigilance,love_contentment | I run a small auto shop and took on a 17-year-old apprentice four months ago. The kid is slow, daydreams, and 
JLS-108 | 284 | Prohibition of Procrastinating by a Rich Person to Fulfill his Obligat | leaky | justice,restraint | self_accounting,truthfulness | My brother-in-law lent me 4,000 back in March when my car transmission died. I told him I'd pay it back fast. 
JLS-109 | 285 | Undesirability of giving a Gift and then ask back for it | clean | restraint,justice | truthfulness,self_accounting,love_contentment | Two years ago I gave my younger sister my late mother's gold set for her wedding — about 80 grams, real heavy 
JLS-110 | 286 | Prohibition of devouring the Property of an Orphan | clean | justice,restraint | fear_hope,truthfulness,self_accounting,vigilance | My brother died fourteen months ago and I'm raising his son, who's nine. The life insurance and his savings — 
JLS-111 | 290 | Prohibition of gazing at women and Beardless Handsome Boys except in E | clean | restraint,courage | vigilance,self_accounting,repentance,fear_hope | There's a new designer on my floor, started about six weeks ago. She sits two desks over and I catch myself lo
JLS-112 | 296 | Prohibition of Wearing False Hair, Tattooing and Filling of Teeth | intrinsic | restraint | intention_sincerity,love_contentment,self_accounting | My wedding is in six weeks and I've already booked the salon to put in clip-in extensions and a fitted hairpie
JLS-113 | 300 | Prohibition of Leaving the Fire Burning | clean | restraint,cross_cutting | vigilance,reliance_on_god,self_accounting | My bedroom is freezing this winter — the radiator barely works and I've been waking up cold at 3am. Three week
JLS-114 | 302 | Prohibition of Bewailing the Deceased | leaky | patience,restraint | patience,patience_gratitude,reliance_on_god,love_contentment,fear_hope | My mother passed eleven days ago. I was the one who found her. Since then I can't stop — I've been hitting my 
JLS-115 | 303 | Prohibition of Consultation with Soothsayers | clean | restraint,patience | reliance_on_god,fear_hope,vigilance | My daughter's wedding is in five weeks and something feels off about the groom's family — small things, but my
JLS-116 | 305 | Prohibition of Drawing Portraits | intrinsic | restraint,cross_cutting | vigilance,intention_sincerity,fear_hope | I run a small painting business and just got my biggest offer yet — a café owner wants a mural for his new pla
JLS-117 | 307 | Undesirability of Hanging Bells round the Necks of Animals | intrinsic | restraint | vigilance,love_contentment | My daughter's turning six next week and she's been begging for a cat. We finally found a rescue kitten, and sh
JLS-118 | 311 | Undesirability of Entering the Mosque after Eating raw Onion or Garlic | intrinsic | restraint,justice,cross_cutting | self_accounting,vigilance | My mother-in-law cooked a huge lamb dish tonight loaded with raw garlic and onion — she'd be hurt if I didn't 
JLS-119 | 314 | Prohibition of Swearing in the name of anything besides Allah | clean | restraint,cross_cutting | truthfulness,vigilance,self_accounting | I caught myself again this morning. My sister accused me of forgetting to pay the electric bill, and before I 
JLS-120 | 316 | Desirability of Expiating the Oath taken by a Person who afterwards Br | intrinsic | justice,restraint,cross_cutting | repentance,self_accounting,truthfulness | Eight months ago, after my sister humiliated me at our father's funeral in front of the whole family, I swore 
JLS-121 | 318 | Abomination of Swearing in Transaction | leaky | restraint,justice | truthfulness,intention_sincerity,vigilance,reliance_on_god | I've run a phone-and-accessories stall for about two years. Three weeks ago a bigger shop opened across the ro
JLS-122 | 323 | Prohibition of Reviling the Wind | clean | restraint,patience | patience_gratitude,reliance_on_god,love_contentment | We run a small lavender farm — eleven years of building it up. Two nights ago a freak windstorm came through r
JLS-123 | 326 | Prohibition of Calling a Muslim an Infidel | intrinsic | restraint,justice | vigilance,self_accounting | My younger brother is 24 and hasn't prayed in maybe two years. Last week at our cousin's wedding he was laughi
JLS-124 | 328 | Undesirability of Pretentiousness and Exaggeration during Conversation | leaky | restraint,cross_cutting | intention_sincerity,truthfulness,self_accounting | I'm giving my first Friday talk at our masjid in two weeks — maybe 150 people, and a lot of them have known me
JLS-125 | 329 | Abomination of Self-Condemnation | leaky | restraint,patience | fear_hope,self_accounting,repentance,love_contentment | I broke my streak again last night — four months clean off the gambling apps, gone in one sitting. I lost abou
JLS-126 | 332 | Abomination of saying: "Forgive me if you wish, O Allah!" | intrinsic | cross_cutting | fear_hope,reliance_on_god,repentance | My mother passed five weeks ago, and there's a lot I left undone with her — calls I didn't return, a few hard 
JLS-127 | 334 | Abomination of Holding Conversation after 'Isha' (Night) Prayer | intrinsic | restraint,patience | self_accounting,vigilance | I'm 26, work as a nurse on day shifts, and my closest friends from uni all live in different cities now. Our g
JLS-128 | 336 | Prohibition of Observing an Optional Saum (Fast) by a Woman without th | intrinsic | restraint,justice | intention_sincerity,love_contentment,self_accounting | I started fasting Mondays and Thursdays about six weeks ago and it's become the steadiest thing in my week. Th
JLS-129 | 337 | Prohibition of raising one's Head before the Imam | intrinsic | restraint,patience | patience,vigilance,self_accounting | I started praying in the front row at the masjid near my office about two months ago, and I've noticed somethi
JLS-130 | 341 | Undesirability of Glancing in one Direction of the other during Prayer | intrinsic | restraint,patience | vigilance,intention_sincerity,love_contentment | I pray at home most days now that I work remote, and I've started keeping my phone face-up on the floor next t
JLS-131 | 347 | Prohibition of Sitting on the Graves | intrinsic | restraint,courage,cross_cutting | vigilance,love_contentment | My grandmother passed seven weeks ago, and Saturday is the unveiling of her headstone — about forty of us comi
JLS-132 | 348 | Prohibition of Plastering and Building over the Graves | intrinsic | restraint,cross_cutting | intention_sincerity,love_contentment,self_accounting | My father passed seven weeks ago. My older brother and two uncles have already gotten a quote — a raised marbl
JLS-133 | 353 | Prohibition of giving preference to Children over one another in givin | clean | justice,restraint | self_accounting,love_contentment,truthfulness | I'm 68 and my wife passed last spring. Of my four kids, only my youngest daughter actually shows up — she driv
JLS-134 | 357 | Prohibition of Pointing with a Weapon at another Brother in Faith | clean | restraint,justice | vigilance,self_accounting | My little brother and I work the same warehouse shift, and he's been pranking me for weeks — hid my keys, tape
JLS-135 | 359 | Undesirability of Rejecting the Gift of Perfume | leaky | justice,cross_cutting | love_contentment,patience_gratitude | My upstairs neighbor lost her husband eight months ago. Ever since, she's been leaving food at my door — a tra
JLS-136 | 361 | Undesirability of departing from or coming to a Place stricken by a Ep | clean | courage,patience,restraint | reliance_on_god,fear_hope,patience,love_contentment | There's a bad outbreak in my city — three deaths on our street alone in the last two weeks, the clinic's overw
JLS-137 | 365 | Prohibition of Wearing Saffron-Colored Dress | intrinsic | restraint | intention_sincerity,self_accounting | My brother's wedding is in two weeks and I splurged on this deep saffron-yellow sherwani — the tailor finished
JLS-138 | 367 | Prohibition of attributing wrong Fatherhood | clean | justice,restraint | truthfulness,intention_sincerity,self_accounting | My dad left when I was two and never came back — never a call, nothing. The man who actually raised me is the 
